1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,11,21,,4,,,0,,,,,,,,,18,,,,,,,,,,,,,,,,,,20,-1,-1,-1,-1,-1,-1,0,-1,0,1,1
DS,10,2,2014,GM22,1,2,30,PI,7,0,0,12,21,,5,,,0,,,,,,,,,27,,,,,,,,,,,,,,,,,,30,-1,-1,-1,-1,-1,-1,0,-1,0,1,0
DS,10,2,2014,GM22,1,2,40,MI,9,0,0,1,30,20,4,,,,,,0,,,0,,,11,,,,,,,,,,,,,,,,,,40,-1,-1,-1,-1,-1,-1,0,-1,0,1,0
DS,10,2,2014,GM22,1,2,40,MI,9,0,0,2,17,14,4,,,,,,0,,,1,,,8,,,,,,,,,,,,,,,,,,50,-1,-1,-1,-1,-1,-1,0,-1,0,1,0
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,3,17,15,4,,,,,,1,,,1,,,13,,,,,,,,,,,,,,,,,,60,-1,-1,-1,-1,-1,-1,0,-1,0,1,0
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,4,23,22,4,,,,,,1,,,0,,,5,,,,,,,,,,,,,,,,,,70,-1,-1,0,-1,0,-1,0,0,0,1,1
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,5,20,17,4,,,,,,0,,,2,,,7,,,,,,,,,,,,,,,,,,80,-1,-1,0,-1,0,-1,0,0,0,1,1
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,6,27,22,4,,,,,,0,,,0,,,14,,,,,,,,,,,,,,,,,,90,-1,-1,0,-1,0,-1,0,0,0,1,1
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,7,17,14,4,,,,,,1,,,0,,,7,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0,0,1,1
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,8,18,12,4,,,,,,,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,9,17,12,4,,,,,,,,,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,10,30,20,4,,,,,,,,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,11,15,15,4,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,3,40,MI,9,0,0,12,15,11,4,,,,,,,,,0,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,1,18,18,2,,,,,,1,,,0,0,,2,2,0,,,,,0,,1,0,,0,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,2,18,18,2,,,,,,0,,,0,0,,0,0,2,,,,,1,,2,0,,0,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,3,16,16,2,,,,,,0,,,0,2,,0,2,0,,,,,0,,1,0,,1,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,4,13,13,2,,,,,,0,,,0,1,,0,1,5,,,,,3,,0,0,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,5,17,17,2,,,,,,1,,,0,0,,0,3,0,,,,,1,,2,0,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,6,20,20,2,,,,,,0,,,0,0,,2,0,5,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,7,15,15,2,,,,,,0,,,0,0,,2,0,0,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,8,17,17,2,,,,,,0,,,0,0,,1,0,5,,,,,0,,0,1,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,9,20,20,2,,,,,,0,,,1,0,,2,0,0,,,,,0,,1,0,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,10,19,19,2,,,,,,0,,,1,2,,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,11,14,14,2,,,,,,0,,,0,0,,0,0,4,,,,,0,,1,0,,,,,,,,,,,,,,,,,,,
DS,10,2,2014,GM22,1,4,90,AR,2,0,0,12,15,15,2,,,,,,1,,,0,0,,1,2,0,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
